kikar_id,fb_id,fb_link,Content_type,Content_id,alt_content_type,alt_content_id,שם
102,169783729837746,https://www.facebook.com/pages/%D7%99%D7%A2%D7%A7%D7%91-%D7%90%D7%A9%D7%A8-Yaakov-Asher/169783729837746,Member,861,candidate,861,יעקב אשר
51,162319074217,https://www.facebook.com/ShellyYachimovich,Member,782,candidate,782,שלי יחימוביץ
106,368992579826185,https://www.facebook.com/MayorShama,Member,829,None,None,כרמל שאמה
81,344375515658579,https://www.facebook.com/Elkin.Zeev,Member,768,candidate,768,זאב אלקין
52,178433145502975,https://www.facebook.com/AvigdorLiberman,Member,214,candidate,214,אביגדור ליברמן
105,381332725251346,https://www.facebook.com/pages/David-Rotem/381332725251346,Member,805,None,None,דוד רותם
67,173196886046831,https://www.facebook.com/pages/%D7%9E%D7%A9%D7%94-%D7%91%D7%95%D7%92%D7%99-%D7%99%D7%A2%D7%9C%D7%95%D7%9F-Moshe-Bogie-Yaalon/173196886046831,Member,823,candidate,823,משה יעלון
138,433529446712013,https://www.facebook.com/AymanOdeh1975,None,None,candidate,958,איימן עודה
3,34775063966,https://www.facebook.com/GideonSaarLikud,Member,725,None,None,גדעון סער
71,437496349633977,https://www.facebook.com/NissanSlomiansky,Member,92,candidate,92,ניסן סלומינסקי
75,290348144398550,https://www.facebook.com/avihabait,Member,870,candidate,870,אבי וורצמן
141,1457371761180290,https://www.facebook.com/Officialbaruchmarzel,None,None,candidate,968,ברוך מרזל
48,371855757456,https://www.facebook.com/YuliEdelstein,Member,1,candidate,1,יולי - יואל אדלשטיין
113,350522538451081,https://www.facebook.com/pages/%D7%97%D7%99%D7%99%D7%9D-%D7%99%D7%9C%D7%99%D7%9F-Haim-Jelin/350522538451081,None,None,candidate,922,חיים ילין
8,230709873674802,https://www.facebook.com/MFeiglin,Member,885,None,None,משה זלמן פייגלין
78,485996514776399,https://www.facebook.com/EllibenDahan,Member,863,candidate,863,אלי בן-דהן
109,1544176299159896,https://www.facebook.com/Moshekahalon,Member,731,candidate,731,משה כחלון
95,438831352866459,https://www.facebook.com/Shuli.Mualem.Refaeli.Bayit.Yehudi,Member,879,candidate,879,שולי מועלם-רפאלי
83,422665717788216,https://www.facebook.com/haim.katz.79,Member,212,candidate,212,חיים כץ
119,455810997796182,https://www.facebook.com/YossiYonah,None,None,candidate,931,יוסי יונה
108,1523283981271285,https://www.facebook.com/leonliti,Member,813,candidate,813,לאון ליטינצקי
73,171840676187709,https://www.facebook.com/Amramitzna,Member,739,None,None,עמרם מצנע
56,507647555954176,https://www.facebook.com/boaztoporovsky,Member,872,candidate,872,בועז טופורובסקי
44,128834187134576,https://www.facebook.com/Tibi.Fans,Member,208,candidate,208,אחמד טיבי
62,408265492578926,https://www.facebook.com/OferYeshAtid,Member,900,candidate,900,עפר שלח
5,112791015410812,https://www.facebook.com/DanonDanny,Member,828,candidate,828,דני דנון
133,625040900863570,https://www.facebook.com/pages/%D7%99%D7%95%D7%9C%D7%99%D7%94-%D7%9E%D7%9C%D7%99%D7%A0%D7%95%D7%91%D7%A1%D7%A7%D7%99/625040900863570,None,None,candidate,949,יוליה מלינובסקי
33,256097767800645,https://www.facebook.com/moshe.nitzav,Member,880,None,None,משה מזרחי
86,300710030028377,https://www.facebook.com/aharonovichitz,Member,790,None,None,יצחק אהרונוביץ
14,107836625941364,https://www.facebook.com/YairLapid,Member,878,candidate,878,יאיר לפיד
74,581740021875450,https://www.facebook.com/afoagbaria,Member,842,None,None,עפו אגבאריה
36,270537533068364,https://www.facebook.com/karivifat,Member,894,candidate,894,יפעת קריב
37,408819395854150,https://www.facebook.com/SternElazar,Member,899,candidate,899,אלעזר שטרן
127,632771873441351,https://www.facebook.com/pages/%D7%9E%D7%95%D7%A1%D7%99-%D7%A8%D7%96-Mossi-Raz/632771873441351,None,None,candidate,943,מוסי רז
41,281431865311442,https://www.facebook.com/shay.piron,Member,886,candidate,886,שי פירון
129,847224171987908,https://www.facebook.com/DabushMeretz,None,None,candidate,945,אבי דבוש
