member_name,meeting_date,committee_name,meeting_title,meeting_url
יהודה יהושע גליק,2017-03-27,ועדת הכספים,שינויים בתקציב לשנת 2017 ,https://oknesset.org/committee/meeting/14113/
משה גפני,2017-03-27,ועדת הכספים,"קביעת סכום ההשתתפות המיוחד בהוצאות התקציב של המועצות הדתיות בהתאם לסעיף 11ב לחוק שירותי הדת היהודיים (נוסח משולב), התשלא-1971 (אמות המידה) – לשנת 2017 ",https://oknesset.org/committee/meeting/14112/
מנחם אליעזר מוזס,2017-03-27,ועדת הכספים,"קביעת סכום ההשתתפות המיוחד בהוצאות התקציב של המועצות הדתיות בהתאם לסעיף 11ב לחוק שירותי הדת היהודיים (נוסח משולב), התשלא-1971 (אמות המידה) – לשנת 2017 ",https://oknesset.org/committee/meeting/14112/
מיכאל מלכיאלי,2017-03-27,ועדת הכספים,"קביעת סכום ההשתתפות המיוחד בהוצאות התקציב של המועצות הדתיות בהתאם לסעיף 11ב לחוק שירותי הדת היהודיים (נוסח משולב), התשלא-1971 (אמות המידה) – לשנת 2017 ",https://oknesset.org/committee/meeting/14112/
דוד ביטן,2017-03-27,ועדת הכספים,"קביעת סכום ההשתתפות המיוחד בהוצאות התקציב של המועצות הדתיות בהתאם לסעיף 11ב לחוק שירותי הדת היהודיים (נוסח משולב), התשלא-1971 (אמות המידה) – לשנת 2017 ",https://oknesset.org/committee/meeting/14112/
בצלאל סמוטריץ,2017-03-27,ועדת הכספים,"קביעת סכום ההשתתפות המיוחד בהוצאות התקציב של המועצות הדתיות בהתאם לסעיף 11ב לחוק שירותי הדת היהודיים (נוסח משולב), התשלא-1971 (אמות המידה) – לשנת 2017 ",https://oknesset.org/committee/meeting/14112/
איתן ברושי,2017-03-27,ועדת הכספים,"קביעת סכום ההשתתפות המיוחד בהוצאות התקציב של המועצות הדתיות בהתאם לסעיף 11ב לחוק שירותי הדת היהודיים (נוסח משולב), התשלא-1971 (אמות המידה) – לשנת 2017 ",https://oknesset.org/committee/meeting/14112/
אורן אסף חזן,2017-03-27,ועדת הכספים,"קביעת סכום ההשתתפות המיוחד בהוצאות התקציב של המועצות הדתיות בהתאם לסעיף 11ב לחוק שירותי הדת היהודיים (נוסח משולב), התשלא-1971 (אמות המידה) – לשנת 2017 ",https://oknesset.org/committee/meeting/14112/
מנחם אליעזר מוזס,2017-03-27,ועדת הכספים,"הוראות ליישום משטר כושר פירעון כלכלי של חברת ביטוח מבוסס Solvency II בהתאם לסעיף 35(ג) לחוק הפיקוח על שירותים פיננסיים (ביטוח), התשמא - 1981 ",https://oknesset.org/committee/meeting/14111/
מיכאל מלכיאלי,2017-03-27,ועדת הכספים,"הוראות ליישום משטר כושר פירעון כלכלי של חברת ביטוח מבוסס Solvency II בהתאם לסעיף 35(ג) לחוק הפיקוח על שירותים פיננסיים (ביטוח), התשמא - 1981 ",https://oknesset.org/committee/meeting/14111/
דוד ביטן,2017-03-27,ועדת הכספים,"הוראות ליישום משטר כושר פירעון כלכלי של חברת ביטוח מבוסס Solvency II בהתאם לסעיף 35(ג) לחוק הפיקוח על שירותים פיננסיים (ביטוח), התשמא - 1981 ",https://oknesset.org/committee/meeting/14111/
אורן אסף חזן,2017-03-27,ועדת הכספים,"הוראות ליישום משטר כושר פירעון כלכלי של חברת ביטוח מבוסס Solvency II בהתאם לסעיף 35(ג) לחוק הפיקוח על שירותים פיננסיים (ביטוח), התשמא - 1981 ",https://oknesset.org/committee/meeting/14111/
