תחום,מספר סוגיות
"משפט פלילי",582
"רווחה",434
"דיני עבודה",245
"בריאות",241
"רווחה וביטחון סוציאלי",218
"תכנון ובנייה",194
"חינוך",166
"שלטון מקומי",146
"בריאות ורווחה",132
"משפט חוקתי",123
"מיסים",114
"צרכנות",110
"עבודה ורווחה",96
"רווחה ותעסוקה",95
"השכלה גבוהה",94
"מיסוי",94
"בנקאות ופיננסים",78
"מינהל ציבורי",74
"רווחה ובריאות",68
"משפט ציבורי",65
"חינוך ורווחה",61
"תחבורה ציבורית",59
"דיני משפחה",58
"ביטחון סוציאלי",57
"ביטחון ורווחה",55
"הוצאה לפועל",55
"משפט אזרחי",54
"משפט ציבורי ומנהלי",49
"ממשל ומינהל ציבורי",47
"משפט פלילי ואכיפת חוק",44
"ביטחון וצבא",42
"ממשל ומשפט",42
"מערכת המשפט",41
"רווחה ושירותים חברתיים",41
"בריאות הציבור",36
"תחבורה ובטיחות בדרכים",35
"ביטחון פנים",33
"תרבות ומורשת",33
"ביטחון לאומי",32
"תחבורה",32
"איכות סביבה",31
"הגנת הצרכן",29
"דיור ושיכון",28
"ממשל ומשפט ציבורי",28
"דת ומדינה",26
"השכלה גבוהה ורווחה",25
"מיסוי וכלכלה",25
"תקשורת ומדיה",25
"כלכלה ותחרות",24
"רווחה ובטחון סוציאלי",23
"זכויות נפגעי עבירה",21
"משפט ציבורי וממשל",21
"רווחה ועבודה",21
"שלטון מקומי וארנונה",21
"תעסוקה ורווחה",21
"הגירה ואזרחות",20
"חקלאות וכלכלה",20
"מיסוי מקרקעין",20
"רווחה וחינוך",20
"שירותי דת",20
"תרבות וחינוך",20
"חינוך ותרבות",19
"כלכלה ותקציב",19
"משפט פלילי וביטחון",19
"בנקאות וכלכלה",18
"שירות בתי הסוהר",18
"תחבורה ונגישות",18
"ביטחון וממשל",17
"בנקאות וצרכנות",17
"מיסים ורווחה",17
"ממשל ומשטר",17
"מסים",17
"שלטון מקומי ורווחה",17
"משפט אזרחי ונזיקין",16
"משפט חוקתי ומנהלי",16
"רווחת בעלי חיים",16
"בריאות ומשפחה",15
"הגבלים עסקיים ותחרות",15
"הגנת בעלי חיים",15
"מיסוי ורווחה",15
"תחבורה ותשתיות",15
"בריאות ורפואה",14
"דיני עבודה ורווחה",14
"משטר חוקתי",14
"משפט מנהלי וציבורי",14
"משפט צבאי",14
"משפט ציבורי ומינהלי",14
"ספורט",14
"רווחה ומשפחה",14
"שירותים פיננסיים",14
"זכויות אדם ושוויון",13
"יחסי עבודה",13
"כלכלה ומסחר",13
"ממשל תאגידי",13
"רווחה ומשפט",13
"תקציב וכלכלה",13
"ביטחון לאומי ומשפט פלילי",12
"מנהל ציבורי",12
"משפט אזרחי ומנהלי",12
"רווחה וחברה",12
"ביטחון לאומי וממשל",11
"ביטחון לאומי ותקשורת",11
"בריאות הנפש",11
"דת ופוליטיקה",11
"הגנת הפרטיות",11
"חינוך ותעסוקה",11
"ממשל וביטחון",11
"ממשל ומשפט חוקתי",11
"משפט ממשלתי",11
"פיקוח פרלמנטרי",11
"צרכנות וכלכלה",11
"צרכנות ותחבורה",11
"תקציב המדינה",11
"תקשורת וטכנולוגיה",11
"הגנת הסביבה",10
"הוצאה לפועל וגבייה",10
"כלכלה ותעשייה",10
"מעמד אישי",10
"מקצועות חופשיים",10
"מקרקעין",10
"משפט פלילי וזכויות נפגעי עבירה",10
"משפט פלילי ומנהלי",10
"צבא וביטחון",10
"רווחה הביטוח הלאומי",10
"שירות הציבורי",10
"תחבורה וצרכנות",10
"תקשורת",10
"דת ושטח ציבורי",9
"הוצאה לפועל וגביית חובות",9
"זיכרון והנצחה",9
"חדלות פירעון",9
"כלכלה ומיסוי",9
"כלכלה ועסקים",9
"מינהל ציבורי ושקיפות",9
"משטר ומשפט חוקתי",9
"משפט פלילי ואכיפה",9
"משפט פלילי וזכויות אדם",9
"משק וכלכלה",9
"קניין רוחני",9
"רווחה ובריאות ציבורית",9
"רווחה וממשל",9
"שוק ההון",9
"תחבורה ושלטון מקומי",9
"תכנון ובנייה ומקרקעין",9
"ביטחון וחברה",8
"בריאות ומיסוי",8
"דיני חברות",8
"חינוך והשכלה גבוהה",8
"חינוך ונוער",8
"משטרה ואכיפת חוק",8
"משפט חוקתי וממשל",8
"משפט מנהלי",8
"עבודה ותעסוקה",8
"צרכנות ותשתיות",8
"שלטון מקומי ומיסוי עירוני",8
"תחבורה ותעופה",8
"אכיפת חוק וביטחון פנים",7
"ביטחון ומדיניות חוץ",7
"ביטחון לאומי וזכויות אדם",7
"ביטחון לאומי ומדיניות חוץ",7
"ביטחון פנים ואכיפת חוק",7
"בריאות ודת",7
