שם הסוגיה,מספר חוקים
"זכאות עצמאים לדמי אבטלה",10
"פיקוח טכנולוגי על צווי הגנה באלימות במשפחה",10
"גמול והחזר הוצאות לחברי מועצה ברשויות מקומיות",9
"זכאות אלמנים לקצבת שאירים",9
"איסור טיפולי המרה לקטינים",8
"הגבלת תקופת כהונה של ראש הממשלה",8
"הצמדת קצבת נכות לשכר המינימום",8
"הקמת ועדת חקירה ממלכתית לאירועי 7 באוקטובר",8
"חובת פרסום דוחות כספיים למונופולים שאינם תאגידים מדווחים",8
"מכירה ישירה של תוצרת חקלאית בקרקע חקלאית",8
"העברת מידע רפואי במעבר בין קופות חולים",7
"מימון אבחוני לקויות למידה למשפחות מעוטות יכולת",7
"מעמד והעסקת רכזי ביטחון שוטף צבאיים",7
"עריכת הערכות מסוכנות בהליכי צו הגנה",7
"הארכת תוקף זכויות רכישה בדיור הציבורי",6
"הגבלת סכום עיקול בבנק",6
"החלת ריבונות ישראלית ביהודה והשומרון",6
"החלת ריבונות ישראלית בשטחי יהודה ושומרון",6
"מעמד תעסוקתי של מטפלות במשפחתונים",6
"משך תקופת ההתמחות בעריכת דין",6
"צמצום פערים בשירותי בריאות בין הפריפריה למרכז",6
"אגרות העסקת עובדים זרים בענף המלונאות",5
"איסור ניתוק חשמל לצרכנים ביתיים עקב חוב",5
"הארכת תוקף תקנות שעת חירום למעצר חשודים בעבירות ביטחון",5
"החמרת ענישה על תקיפת עורכי דין",5
"הסדרת מקצוע ניתוח התנהגות",5
"זיכוי ממס בגין תרומת מזון",5
"מכסות ייצוג מגדרי בדירקטוריונים של חברות ציבוריות",5
"מענה אנושי בשירות טלפוני לאזרחים ותיקים",5
"מקומות חניה ייעודיים לנשים בהריון ולהורים לתינוקות",5
"מתן רישיונות למכשור רפואי בפריפריה",5
"שיטת חישוב דמי חניה בחניונים",5
"אורך שבוע העבודה המרבי",4
"איסור משלוחים חיים של בעלי חיים לשחיטה",4
"איסור תעמולת טרור במוסדות חינוך",4
"גובה התגמול להורים שכולים",4
"גובה קצבת אזרח ותיק",4
"גיל הזכאות למענק עבודה",4
"גיל זכאות למעונות יום שיקומיים",4
"הארכת מועדים למימון בחירות ברשויות המקומיות",4
"הארכת תוקף חוק שירות לאומי-אזרחי",4
"הגבלת דמי תיווך במקרקעין",4
"הגבלת משך זמן החקירה המשטרתית",4
"הגבלת תקופת כהונה לראש הממשלה",4
"החזר הוצאות פינוי באמבולנס במקרה פטירה טרום אשפוז",4
"החלת ריבונות ישראלית על שטחים ביהודה ושומרון",4
"החמרת ענישה על תקיפת עיתונאים",4
"הטבות מס ליישובים תחת איום ביטחוני מיידי",4
"היעדרות עובדים בשל אשפוז פג",4
"הנחה בדמי ביטוח בריאות לתושבי הפריפריה",4
"הנחות בארנונה למשפחות ברוכות ילדים",4
