to_date,sum_changes,numlines
2016-02-15,242500000.0,3
2016-06-14,449306000.0,19
2016-06-30,562995000.0,11
2016-07-04,88567000.0,4
2016-07-11,1949268000.0,22
2016-07-18,114461000.0,9
2016-08-03,172631000.0,15
2016-08-08,1670442000.0,9
2016-08-15,122252000.0,8
2016-08-18,1004347000.0,29
2016-09-19,4215498000.0,30
2016-09-26,1573796000.0,25
2016-09-27,581579000.0,9
2016-10-06,528578000.0,36
2016-11-07,513144000.0,12
2016-11-13,4000000.0,2
2016-11-14,890299000.0,14
2016-11-16,498827000.0,3
2016-11-17,1773709000.0,2
2016-11-22,857872000.0,4
2016-11-23,398000.0,1
2016-11-27,150000000.0,8
2016-11-28,60009000.0,5
2016-12-01,17000000.0,1
2016-12-04,10150000.0,2
2016-12-05,258867000.0,21
2016-12-07,49751000.0,3
2016-12-12,2541702000.0,16
2016-12-13,393000000.0,3
2016-12-18,2386060000.0,36
2016-12-20,3507136000.0,5
2016-12-21,3000000.0,1
2016-12-22,979827000.0,58
2016-12-25,14723448000.0,331
2016-12-26,3923186000.0,113
2016-12-27,8311422000.0,8
2016-12-28,806489000.0,14
