code,year,title,net_allocated,net_revised,net_used,gross_allocated,gross_revised,active,year1,leading_item,req_code,req_title,change_code,change_title,change_type_id,change_type_name,committee_id,budget_code,budget_title,net_expense_diff,date
301401,2016,רזרבה,53341,0,,53341,0,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301401,רזרבה,29400,30/10/2016
301301,2016,סל קליטה ראשוני,553721,529047,,556521,530847,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301301,סל קליטה ראשוני,401,30/10/2016
301208,2016,עידוד עלייה,37085,150295,,37085,150295,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301208,עידוד עלייה,20637,30/10/2016
301207,2016,תכנית החומש לקליטת בני,12000,19152,,12000,19152,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301207,תכנית החומש לקליטת בני,3715,30/10/2016
301205,2016,סיוע לאוכלוסיות,35500,48003,,35500,48003,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301205,סיוע לאוכלוסיות,2073,30/10/2016
301204,2016,קליטה בקהילה,62870,133053,,63120,133403,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301204,קליטה בקהילה,14137,30/10/2016
301203,2016,סטודנטים עולים,86520,117906,,86570,117956,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301203,סטודנטים עולים,7873,30/10/2016
301202,2016,"תעסוקה, מדע ויזמות",190685,290330,,191285,290930,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301202,"תעסוקה, מדע ויזמות",24019,30/10/2016
301201,2016,דיור,479433,519142,,479433,519142,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301201,דיור,2722,30/10/2016
301102,2016,מינהל ואמרכלות,67130,166908,,67180,167053,True,2016,30,3,העברת עודפים מחוייבים למשרד הקליטה,,עודפים,,הודעה לועדה,,301102,מינהל ואמרכלות,16980,30/10/2016
262601,2016,רזרבות,10240,0,,10240,0,True,2016,26,5,העברת יתרת העודפים המחויבים בסעיף 26,,עודפים,,הודעה לועדה,,262601,רזרבות,10431,30/10/2016
261306,2016,קרן שיקום מחצבות ים,0,746,,0,746,True,2016,26,5,העברת יתרת העודפים המחויבים בסעיף 26,,עודפים,,הודעה לועדה,,261306,קרן שיקום מחצבות ים,148,30/10/2016
261305,2016,קרן צער בעלי חיים,0,14220,,200,14720,True,2016,26,5,העברת יתרת העודפים המחויבים בסעיף 26,,עודפים,,הודעה לועדה,,261305,קרן צער בעלי חיים,1763,30/10/2016
261304,2016,הקרן למניעת זיהום הים,0,96872,,35000,131872,True,2016,26,5,העברת יתרת העודפים המחויבים בסעיף 26,,עודפים,,הודעה לועדה,,261304,הקרן למניעת זיהום הים,3552,30/10/2016
261303,2016,הקרן לשמירת הנקיון -,0,20797,,7000,27797,True,2016,26,5,העברת יתרת העודפים המחויבים בסעיף 26,,עודפים,,הודעה לועדה,,261303,הקרן לשמירת הנקיון -,3396,30/10/2016
261302,2016,הקרן לשמירת הנקיון -,0,49035,,43000,92035,True,2016,26,5,העברת יתרת העודפים המחויבים בסעיף 26,,עודפים,,הודעה לועדה,,261302,הקרן לשמירת הנקיון -,5242,30/10/2016
261301,2016,הקרן לשמירת הניקיון -,0,1319676,,337300,1656976,True,2016,26,5,העברת יתרת העודפים המחויבים בסעיף 26,,עודפים,,הודעה לועדה,,261301,הקרן לשמירת הניקיון -,173901,30/10/2016
