title,absolute_url,stage_date,full_title,popular_name,stage,resource_uri
חוק חדש,/bill/9970/,2016-11-21,חוק לפיקוח על איכות המזון ולתזונה נכונה בצהרונים חוק חדש,,אושרה,/api/v2/bill/9970/
תיקון - פיצויים לדוגמה בשל חוסר תום לב בבירור חבות תגמולי הביטוח,/bill/7343/,2016-11-21,חוק חוזה הביטוח תיקון - פיצויים לדוגמה בשל חוסר תום לב בבירור חבות תגמולי הביטוח,,אושרה,/api/v2/bill/7343/
 הוראת שעה,/bill/10292/,2016-11-07,"חוק הפחתת תוספות פיגור שנוספו על קנסות הנגבים בידי המרכז לגביית קנסות, אגרות והוצאות  הוראת שעה",,אושרה,/api/v2/bill/10292/
תיקון - ביטול ניכוי הקצבה החודשית לפי הסכם עם גרמניה,/bill/9772/,2016-10-31,חוק הטבות לניצולי שואה תיקון - ביטול ניכוי הקצבה החודשית לפי הסכם עם גרמניה,,אושרה,/api/v2/bill/9772/
 תעבורה,/bill/10316/,2016-08-04,חוק לייעול הפיקוח והאכיפה העירוניים ברשויות המקומיות  תעבורה,,אושרה,/api/v2/bill/10316/
תיקון - סגירת סניפים,/bill/9277/,2016-08-04,חוק הבנקאות (רישוי) תיקון - סגירת סניפים,,אושרה,/api/v2/bill/9277/
תיקון - חובת ייצוג הולם לאנשים עם מוגבלות,/bill/3003/,2016-08-04,חוק חובת המכרזים תיקון - חובת ייצוג הולם לאנשים עם מוגבלות,,אושרה,/api/v2/bill/3003/
 תיקון מס' 6,/bill/10157/,2016-08-03,חוק שידורי טלוויזיה מהכנסת  תיקון מס' 6,,אושרה,/api/v2/bill/10157/
תיקוני חקיקה,/bill/8970/,2016-08-03,חוק ייצוג הולם לעובדים עם מוגבלות בגופים ציבוריים תיקוני חקיקה,,אושרה,/api/v2/bill/8970/
 תיקון מס` 2,/bill/10314/,2016-08-02,חוק המאבק בתופעת השימוש בחומרים מסכנים  תיקון מס` 2,,אושרה,/api/v2/bill/10314/
תיקון מס` 30 תיקון מס` 2,/bill/10312/,2016-08-02,חוק התגמולים לנפגעי פעולות איבה תיקון מס` 30 תיקון מס` 2,,אושרה,/api/v2/bill/10312/
הוראות מיוחדות הוראת שעה,/bill/10300/,2016-08-02,חוק תקציב המדינה לשנים 2017 ו– 2018 הוראות מיוחדות הוראת שעה,,אושרה,/api/v2/bill/10300/
 תיקון מס` 3,/bill/9675/,2016-08-02,חוק הרשות הארצית לכבאות והצלה  תיקון מס` 3,,אושרה,/api/v2/bill/9675/
 הוראות מיוחדות,/bill/5768/,2016-08-02,חוק–יסוד: תקציב המדינה לשנים 2017 ו– 2018  הוראות מיוחדות,,אושרה,/api/v2/bill/5768/
תיקוני חקיקה,/bill/10070/,2016-07-26,חוק ביטוח תאונות אישיות לתלמידים תיקוני חקיקה,,אושרה,/api/v2/bill/10070/
תיקון - פגיעה בכבוד דגל המדינה או סמלה,/bill/9841/,2016-07-18,חוק הדגל תיקון - פגיעה בכבוד דגל המדינה או סמלה,,אושרה,/api/v2/bill/9841/
 מס` 4,/bill/9601/,2016-07-12,חוק לתיקון פקודת הסטטיסטיקה  מס` 4,,אושרה,/api/v2/bill/9601/
 תיקון,/bill/8789/,2016-07-04,חוק איסור הפליית עיוורים המלווים בכלבי נחייה  תיקון,,אושרה,/api/v2/bill/8789/
תיקוני חקיקה,/bill/8405/,2016-06-29,חוק להגבלת כהונתו של מנהל מוסד חינוך תיקוני חקיקה,,אושרה,/api/v2/bill/8405/
חוק חדש,/bill/2850/,2016-06-21,חוק יום העלייה חוק חדש,,אושרה,/api/v2/bill/2850/
 תיקון מס` 2,/bill/8193/,2016-06-20,חוק הגבלת שימוש במקום לשם מניעת ביצוע עבירות  תיקון מס` 2,,אושרה,/api/v2/bill/8193/
קופות גמל תיקון מס` 16,/bill/9896/,2016-06-13,חוק הפיקוח על שירותים פיננסיים קופות גמל תיקון מס` 16,,אושרה,/api/v2/bill/9896/
חוק להגנת הספרות והסופרים בישראל חוק חדש,/bill/3252/,2016-05-30,חוק להגנת הספרות והסופרים בישראל חוק להגנת הספרות והסופרים בישראל חוק חדש,חוק הסופרים,אושרה,/api/v2/bill/3252/
שיבוט אדם ושינוי גנטי בתאי רבייה תיקון מס` 3,/bill/9933/,2016-05-23,חוק איסור התערבות גנטית שיבוט אדם ושינוי גנטי בתאי רבייה תיקון מס` 3,,אושרה,/api/v2/bill/9933/
 תיקון מס` 25,/bill/9602/,2016-03-30,חוק פיצויים לנפגעי תאונות דרכים  תיקון מס` 25,,אושרה,/api/v2/bill/9602/
 תיקון מס` 4,/bill/9864/,2016-03-29,חוק השידור הציבורי הישראלי  תיקון מס` 4,,אושרה,/api/v2/bill/9864/
 תיקון מס` 22,/bill/9769/,2016-03-29,חוק נכי רדיפות הנאצים  תיקון מס` 22,,אושרה,/api/v2/bill/9769/
חוק חדש,/bill/9238/,2016-03-29,חוק לצמצום השימוש בשקיות נשיאה חד-פעמיות חוק חדש,,אושרה,/api/v2/bill/9238/
אישור מיוחד ואי התרת הוצאה לצורכי מס בשל תגמול חריג,/bill/8852/,2016-03-29,חוק תגמול לנושאי משרה בתאגידים פיננסיים אישור מיוחד ואי התרת הוצאה לצורכי מס בשל תגמול חריג,,אושרה,/api/v2/bill/8852/
 תיקון,/bill/8795/,2016-03-29,חוק הפיקוח על יצוא ביטחוני  תיקון,,אושרה,/api/v2/bill/8795/
 תיקון מס` 59,/bill/9746/,2016-03-28,חוק ניירות ערך  תיקון מס` 59,,אושרה,/api/v2/bill/9746/
 תיקון,/bill/9560/,2016-03-21,חוק הפיקוח על מזון לבעלי חיים  תיקון,,אושרה,/api/v2/bill/9560/
 תיקון מס` 38,/bill/8797/,2016-03-21,חוק לשכת עורכי הדין  תיקון מס` 38,,אושרה,/api/v2/bill/8797/
מס הכנסה שלילי תיקון מס` 8,/bill/8648/,2016-03-14,חוק להגדלת שיעור ההשתתפות בכוח העבודה ולצמצום פערים חברתיים מס הכנסה שלילי תיקון מס` 8,,אושרה,/api/v2/bill/8648/
 תיקון מס` 3,/bill/9732/,2016-03-07,חוק הסדרת העיסוק בייצוג על ידי יועצי מס  תיקון מס` 3,,אושרה,/api/v2/bill/9732/
תיקון - הארכת מועד,/bill/9627/,2016-03-07,"חוק נכי רדיפות הנאצים (תיקון מס"" 20) תיקון - הארכת מועד",,אושרה,/api/v2/bill/9627/
 תיקון מס` 28,/bill/9597/,2016-03-07,חוק החברות  תיקון מס` 28,,אושרה,/api/v2/bill/9597/
תיקון - זיכוי ממס מהכנסה חייבת מיגיעה אישית,/bill/9649/,2016-02-29,חוק אזור סחר חופשי באילת (פטורים והנחות ממסים) תיקון - זיכוי ממס מהכנסה חייבת מיגיעה אישית,,אושרה,/api/v2/bill/9649/
תיקון - הכרה אזרחית בהכשרות וקורסים צבאיים,/bill/9191/,2016-02-29,חוק שירות ביטחון תיקון - הכרה אזרחית בהכשרות וקורסים צבאיים,,אושרה,/api/v2/bill/9191/
תיקון - הודעה במסרון על סיום עסקה לתקופה קצובה,/bill/9000/,2016-02-29,חוק הגנת הצרכן תיקון - הודעה במסרון על סיום עסקה לתקופה קצובה,,אושרה,/api/v2/bill/9000/
תיקון - היעדרות בשל מחלה קשה,/bill/7920/,2016-02-29,חוק דמי מחלה (היעדרות בשל מחלת ילד) תיקון - היעדרות בשל מחלה קשה,,אושרה,/api/v2/bill/7920/
תיקון מס' 69 חקירת סיבות מוות,/bill/7180/,2016-02-29,חוק השיפוט הצבאי תיקון מס' 69 חקירת סיבות מוות,,אושרה,/api/v2/bill/7180/
חוק חדש,/bill/7648/,2016-02-23,חוק האומנה חוק חדש,,אושרה,/api/v2/bill/7648/
חובת פרסום טפסים מקוונים,/bill/9075/,2016-02-22,חוק לתיקון פקודת העיריות חובת פרסום טפסים מקוונים,,אושרה,/api/v2/bill/9075/
 תיקון מס` 169,/bill/9656/,2016-02-15,חוק הביטוח הלאומי  תיקון מס` 169,,אושרה,/api/v2/bill/9656/
הצבת יוצאי צבא בשירות בתי הסוהר תיקון מס` 7,/bill/9620/,2016-02-15,חוק שירות ביטחון (הוראת שעה) הצבת יוצאי צבא בשירות בתי הסוהר תיקון מס` 7,,אושרה,/api/v2/bill/9620/
שירות במשטרה ושירות מוכר תיקון מס` 15,/bill/9619/,2016-02-15,חוק שירות ביטחון (תיקון מס' 7 והוראת שעה) שירות במשטרה ושירות מוכר תיקון מס` 15,,אושרה,/api/v2/bill/9619/
עבירות ושיפוט תיקון מס` 5 והוראת שעה,/bill/9712/,2016-02-08,חוק למניעת הסתננות עבירות ושיפוט תיקון מס` 5 והוראת שעה,,אושרה,/api/v2/bill/9712/
תיקוני חקיקה להשגת יעדי התקציב והמדיניות הכלכלית לשנות הכספים 2003 ו– 2004 תיקון מס` 18,/bill/9559/,2016-02-08,חוק התכנית להבראת כלכלת ישראל תיקוני חקיקה להשגת יעדי התקציב והמדיניות הכלכלית לשנות הכספים 2003 ו– 2004 תיקון מס` 18,,אושרה,/api/v2/bill/9559/
תיקון - הארכת תקופת החופשה לכל שנת עבודה אצל מעסיק,/bill/8894/,2016-02-08,חוק חופשה שנתית תיקון - הארכת תקופת החופשה לכל שנת עבודה אצל מעסיק,,אושרה,/api/v2/bill/8894/
תיקון מס` 72 עבירת עריקה,/bill/8637/,2016-02-08,חוק השיפוט הצבאי תיקון מס` 72 עבירת עריקה,,אושרה,/api/v2/bill/8637/
חוק חדש,/bill/8358/,2016-02-08,חוק הסדרת העיסוק בהדברת מזיקים לאדם ולרכוש התשע”ד-2014 חוק חדש,,אושרה,/api/v2/bill/8358/
תיקון  - סמכות בית המשפט לאסור שימוש ברכב ששימש לנסיעה בחוף,/bill/8208/,2016-02-08,חוק איסור נהיגה ברכב בחוף הים תיקון  - סמכות בית המשפט לאסור שימוש ברכב ששימש לנסיעה בחוף,,אושרה,/api/v2/bill/8208/
תיקון מס` 5 סמכות חיפוש לשוטר לשם מניעת אלימות,/bill/9466/,2016-02-02,חוק סמכויות לשם שמירה על ביטחון הציבור תיקון מס` 5 סמכות חיפוש לשוטר לשם מניעת אלימות,,אושרה,/api/v2/bill/9466/
תיקון - העלאת סכום המחיר הבסיסי,/bill/9248/,2016-02-02,חוק הדיור הציבורי (זכויות רכישה) תיקון - העלאת סכום המחיר הבסיסי,,אושרה,/api/v2/bill/9248/
תיקון - הארכת התקופה להגשת בקשה לרישום פסק דין שניתן לפני יום התחילה,/bill/9242/,2016-02-02,חוק לחלוקת חיסכון פנסיוני בין בני זוג שנפרדו תיקון - הארכת התקופה להגשת בקשה לרישום פסק דין שניתן לפני יום התחילה,,אושרה,/api/v2/bill/9242/
תיקון - מניעת עיקול מיטלטלין מבתי תפילה,/bill/9100/,2016-02-02,חוק ההוצאה לפועל תיקון - מניעת עיקול מיטלטלין מבתי תפילה,,אושרה,/api/v2/bill/9100/
 תיקון מס' 4,/bill/7173/,2016-02-02,חוק הסדרת העיסוק במקצועות הבריאות  תיקון מס' 4,,אושרה,/api/v2/bill/7173/
מס` 6 פטור מבחינות,/bill/9617/,2016-01-25,חוק לתיקון פקודת רופאי השיניים מס` 6 פטור מבחינות,,אושרה,/api/v2/bill/9617/
 תיקון מס` 82,/bill/9535/,2016-01-18,חוק בתי המשפט  תיקון מס` 82,,אושרה,/api/v2/bill/9535/
 מס` 8,/bill/8734/,2016-01-18,חוק לתיקון פקודת הבטיחות בעבודה  מס` 8,,אושרה,/api/v2/bill/8734/
תיקון מס' 43 קובלנות,/bill/9634/,2016-01-12,חוק חסינות חברי הכנסת זכויותיהם וחובותיהם תיקון מס' 43 קובלנות,,אושרה,/api/v2/bill/9634/
חוק חדש,/bill/9621/,2016-01-11,חוק אמנת הבנק האסייני להשקעות בתשתיות התשע”ו-2015 חוק חדש,,אושרה,/api/v2/bill/9621/
פטור על הכנסה מריבית המשולמת על כספי פיצויים לעיוור או לנכה,/bill/8988/,2016-01-11,חוק לתיקון פקודת מס הכנסה פטור על הכנסה מריבית המשולמת על כספי פיצויים לעיוור או לנכה,,אושרה,/api/v2/bill/8988/
תיקון מס` 2 דחיית תחילה,/bill/9344/,2016-01-04,חוק להסדר התדיינויות בסכסוכי משפחה (הוראת שעה) תיקון מס` 2 דחיית תחילה,,אושרה,/api/v2/bill/9344/
תיקון - אלימות מילולית שלא בפני המטפל,/bill/7918/,2016-01-04,חוק למניעת אלימות במוסדות למתן טיפול תיקון - אלימות מילולית שלא בפני המטפל,,אושרה,/api/v2/bill/7918/
 הוראת שעה,/bill/9562/,2015-12-28,חוק התכנון והבנייה  הוראת שעה,,אושרה,/api/v2/bill/9562/
הוראת שעה תיקון מס` 3,/bill/9558/,2015-12-28,חוק לתיקון פקודת העיריות הוראת שעה תיקון מס` 3,,אושרה,/api/v2/bill/9558/
 הוראת שעה,/bill/9557/,2015-12-28,חוק לתיקון פקודת התעבורה  הוראת שעה,,אושרה,/api/v2/bill/9557/
הוראת שעה תיקון מס` 4,/bill/9534/,2015-12-28,חוק סדר הדין הפלילי (עצור החשוד בעבירת ביטחון) הוראת שעה תיקון מס` 4,,אושרה,/api/v2/bill/9534/
היי–טק תיקוני חקיקה,/bill/8731/,2015-12-28,חוק לקידום השקעות בחברות הפועלות בתחומי הטכנולוגיה העילית היי–טק תיקוני חקיקה,,אושרה,/api/v2/bill/8731/
זכויות רכישה תיקון מס` 6,/bill/8072/,2015-12-28,חוק הדיור הציבורי זכויות רכישה תיקון מס` 6,,אושרה,/api/v2/bill/8072/
תיקון - מעמד החטיבה להתיישבות,/bill/9020/,2015-12-24,חוק מעמדן של ההסתדרות הציונית העולמית ושל הסוכנות היהודית לארץ-ישראל תיקון - מעמד החטיבה להתיישבות,,אושרה,/api/v2/bill/9020/
תיקון מס` 3 חלוקת תיקים בענייני סמים,/bill/9473/,2015-12-21,חוק סדר הדין הפלילי (תיקון מס` 62 - הוראת שעה) תיקון מס` 3 חלוקת תיקים בענייני סמים,,אושרה,/api/v2/bill/9473/
מס` 16 עדות קרובים,/bill/8073/,2015-12-21,חוק לתיקון פקודת הראיות מס` 16 עדות קרובים,,אושרה,/api/v2/bill/8073/
 תיקון מס` 3,/bill/9468/,2015-11-30,חוק השידור הציבורי הישראלי  תיקון מס` 3,,אושרה,/api/v2/bill/9468/
 תיקון מס` 21,/bill/9501/,2015-11-24,חוק שירות ביטחון  תיקון מס` 21,,אושרה,/api/v2/bill/9501/
 תיקוני חקיקה להשגת יעדי התקציבלשנות התקציב 2015 ו– 2016,/bill/9346/,2015-11-19,חוק ההתייעלות הכלכלית  תיקוני חקיקה להשגת יעדי התקציבלשנות התקציב 2015 ו– 2016,,אושרה,/api/v2/bill/9346/
