name,total_hours,total_days
גדעון סער,0.0,33
בצלאל סמוטריץ,1814.0,84
עודד פורר,1306.0,66
יעל גרמן,1967.0,85
יוסף ג`בארין,1255.0,84
חמד עמאר,1205.0,85
שלי יחימוביץ,1317.0,85
שולי מועלם-רפאלי,1182.0,61
גילה גמליאל,626.0,85
יואב קיש,1623.0,84
אורן אסף חזן,1201.0,84
אלי אלאלוף,1874.0,84
יהודה יהושע גליק,613.0,31
עבד אלחכים חאג` יחיא,1613.0,84
ישראל כץ,595.0,85
זבולון כלפה,0.0,33
אראל מרגלית,1131.0,85
מאיר פרוש,487.0,54
עמרם מצנע,0.0,33
גלעד ארדן,676.0,85
ציפי חוטובלי,517.0,85
שמעון אוחיון,0.0,33
איימן עודה,1144.0,84
דוד רותם,12.0,33
משה מזרחי,0.0,33
לאון ליטינצקי,0.0,33
נסים זאב,0.0,33
דוד צור,0.0,33
רות קלדרון,0.0,33
יצחק אהרונוביץ,0.0,33
איציק שמולי,2039.0,85
יעקב ליצמן,808.0,85
חיליק בר,1354.0,85
ניסן סלומינסקי,1749.0,85
אוסאמה סעדי,1561.0,84
עיסאווי פריג`,1403.0,85
טלב אבו עראר,1120.0,85
יואל רזבוזוב,1093.0,85
חיים כץ,609.0,85
נחמן שי,1885.0,85
יריב לוין,810.0,85
רוברט אילטוב,1297.0,85
אלי בן-דהן,1257.0,85
מרב מיכאלי,1545.0,85
איילת נחמיאס ורבין,1506.0,84
מיכאל מלכיאלי ,423.0,16
עדי קול,0.0,33
יצחק כהן,707.0,85
יאיר שמיר,0.0,33
יעקב אשר,663.0,64
אופיר אקוניס,718.0,85
משה גפני,1620.0,85
יולי - יואל אדלשטיין,1545.0,85
מאיר כהן,1379.0,85
רחל עזריה,1880.0,84
איתן ברושי,1653.0,84
דב ליפמן,0.0,33
בועז טופורובסקי,0.0,33
אחמד טיבי,1500.0,85
עליזה לביא,1513.0,85
אורלי לוי-אבקסיס,1121.0,85
אליהו ישי,0.0,33
עאידה תומא סלימאן,1662.0,84
דני דנון,192.0,18
מסעוד גנאים,1429.0,85
סופה לנדבר,1063.0,85
חנין זועבי,1101.0,85
ניצן הורוביץ,0.0,33
קסניה סבטלובה,1322.0,84
אמנון כהן,0.0,33
אורי מקלב,2307.0,85
אביגדור ליברמן,855.0,68
אבישי ברוורמן,0.0,33
סילבן שלום,175.0,33
ז`קי לוי,1036.0,84
מרדכי יוגב,1888.0,85
נפתלי בנט,668.0,85
בנימין נתניהו,417.0,85
יגאל גואטה,823.0,50
בנימין (פואד) בן-אליעזר,0.0,33
באסל גטאס,951.0,75
אילן גילאון,1325.0,85
ישראל חסון,0.0,33
זאב אלקין,864.0,85
אברהם נגוסה,1753.0,84
מנחם אליעזר מוזס,1414.0,85
דוד ביטן,1818.0,84
עבדאללה אבו מערוף,1729.0,84
איילת שקד,785.0,85
יצחק הרצוג,1119.0,85
טלי פלוסקוב,1618.0,84
איל בן-ראובן,1397.0,84
עמיר פרץ,1157.0,85
משולם נהרי,423.0,35
נאוה בוקר,1382.0,84
רינה פרנקל,0.0,33
זהבה גלאון,1166.0,85
חיים ילין,1866.0,84
יאיר לפיד,680.0,85
עפו אגבאריה,0.0,33
יעל כהן פארן,1016.0,54
אמיר אוחנה,976.0,52
אורי אורבך,0.0,33
יוסי יונה,1609.0,84
עוזי לנדאו,0.0,33
נורית קורן,1866.0,84
מכלוף מיקי זוהר,1551.0,84
אורי יהודה אריאל,1033.0,85
קארין אלהרר,1825.0,85
ענת ברקו,1797.0,84
דוד אזולאי,853.0,85
דב חנין,1788.0,85
אלי כהן,1558.0,84
יפעת שאשא ביטון,1406.0,84
רויטל סויד,1411.0,84
יוליה מלינובסקי,608.0,30
שי פירון,262.0,33
יעקב פרי,1345.0,85
אריה דרעי,350.0,69
איתן כבל,1759.0,85
יואב גלנט,895.0,84
מיכל רוזין,1441.0,85
שרן השכל,1180.0,67
זוהיר בהלול,1101.0,84
מאיר שטרית,0.0,33
יואב בן צור,1617.0,85
משה יעלון,297.0,68
לימור לבנת,0.0,33
יובל צלנר,0.0,33
מיקי רוזנטל,1327.0,85
מירב  בן-ארי,2043.0,84
אכרם חסון,909.0,48
שמעון סולומון,0.0,33
אברהם מיכאלי,0.0,33
יצחק וקנין,1538.0,85
ישראל אייכלר,1703.0,85
שאול מופז,0.0,33
מיקי לוי,1626.0,85
משה זלמן פייגלין,0.0,33
תמר זנדברג,1497.0,85
מנואל טרכטנברג,1364.0,84
מוחמד ברכה,0.0,33
אברהים צרצור,0.0,33
ינון מגל,494.0,31
יוני שטבון,0.0,33
פאינה (פניה) קירשנבאום,0.0,33
פנינה תמנו-שטה,0.0,33
אורית סטרוק,0.0,33
אלכס מילר,0.0,33
רונן הופמן,0.0,33
מיכל בירן,1494.0,85
מירי רגב,679.0,85
יובל שטייניץ,627.0,85
אלעזר שטרן,992.0,66
עמר בר-לב,1463.0,85
יעקב מרגי,1827.0,85
דוד אמסלם,1448.0,84
יפעת קריב,0.0,33
מיכאל אורן,1149.0,84
עפר שלח,1372.0,85
חנא סוייד,0.0,33
סתיו שפיר,1360.0,85
רועי פולקמן,2125.0,84
ג`מאל זחאלקה,1133.0,85
ירון מזוז,1143.0,84
