member_name,meeting_date,committee_name,meeting_title,meeting_url
אוסאמה סעדי,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
אורי מקלב,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
דב חנין,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
זאב בנימין בגין,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
יואל חסון,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
מיכל רוזין,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
מיקי לוי,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
מיקי רוזנטל,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
מרב מיכאלי,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
יואל רזבוזוב,2016-10-31,"ועדת העלייה, הקליטה והתפוצות",סקירה ועדכון על אמנות והסכמים בילטראליים בדבר פנסיות לעולים ממדינות מוצאם  ,https://oknesset.org/committee/meeting/13465/
טלי פלוסקוב,2016-10-31,"ועדת העלייה, הקליטה והתפוצות",סקירה ועדכון על אמנות והסכמים בילטראליים בדבר פנסיות לעולים ממדינות מוצאם  ,https://oknesset.org/committee/meeting/13465/
אברהם נגוסה,2016-10-31,"ועדת העלייה, הקליטה והתפוצות",סקירה ועדכון על אמנות והסכמים בילטראליים בדבר פנסיות לעולים ממדינות מוצאם  ,https://oknesset.org/committee/meeting/13465/
משה גפני,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
נחמן שי,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
ניסן סלומינסקי,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
ענת ברקו,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
ציפי לבני,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
רויטל סויד,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
תמר זנדברג,2016-10-31,"ועדת החוקה, חוק ומשפט","ישיבת ועדה חגיגית לרגל פרישתה של עו”ד סיגל קוגוט, היועצת המשפטית של ועדת החוקה, חוק ומשפט והמשנה ליועץ המשפטי לכנסת ",https://oknesset.org/committee/meeting/13106/
אוסאמה סעדי,2016-10-31,"ועדת העבודה, הרווחה והבריאות",תאונות עבודה בענף הבנייה ,https://oknesset.org/committee/meeting/13245/
תמר זנדברג,2016-10-31,ועדה לענייני ביקורת המדינה,1. הטיפול בזיהום אוויר ממקורות נייחים - דוח מבקר 65ג - ישיבת מעקב שנייה 2. בקשה לחוות דעת מבקר המדינה בנושא: זיהום אוויר במפרץ חיפה - ישיבת מעקב שנייה ,https://oknesset.org/committee/meeting/13346/
קארין אלהרר,2016-10-31,ועדה לענייני ביקורת המדינה,1. הטיפול בזיהום אוויר ממקורות נייחים - דוח מבקר 65ג - ישיבת מעקב שנייה 2. בקשה לחוות דעת מבקר המדינה בנושא: זיהום אוויר במפרץ חיפה - ישיבת מעקב שנייה ,https://oknesset.org/committee/meeting/13346/
זוהיר בהלול,2016-10-31,ועדה לענייני ביקורת המדינה,1. הטיפול בזיהום אוויר ממקורות נייחים - דוח מבקר 65ג - ישיבת מעקב שנייה 2. בקשה לחוות דעת מבקר המדינה בנושא: זיהום אוויר במפרץ חיפה - ישיבת מעקב שנייה ,https://oknesset.org/committee/meeting/13346/
