"bill_id","כותרת","סוגיה","מונחים שתפסו","הציר הנוכחי"
"2199084","הצעת חוק הכשרות לאנשי מקצוע בתחום הבריאות בנושא מגדר ונטייה מינית, התשפ""ג-2023","הכשרת אנשי מקצוע בבריאות בנושאי מגדר ונטייה מינית","להט""ב · נטייה מינית","(לא מסווגת)"
"2200729","הצעת חוק שוויון ההזדמנויות בעבודה (תיקון - עצמאות נציבות שוויון הזדמנויות בעבודה), התשפ""ג-2023","הרכב וסמכויות הוועדה המייעצת לנציבות שוויון ההזדמנויות בעבודה","להט""ב · הומוסקסואל · לסביות · ביסקסואל","האם להחמיר אכיפה וענישה נגד הפליה במקומות ציבוריים? | האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים?"
"2201329","הצעת חוק לתיקון פקודת העיריות (ייצוג הולם בשמות מקומות ציבוריים), התשפ""ג-2023","ייצוג הולם בשמות מקומות ציבוריים","להט""ב","האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים?"
"2201550","הצעת חוק שוויון ההזדמנויות בעבודה (תיקון - עצמאות נציבות שוויון הזדמנויות בעבודה), התשפ""ג-2023","הרכב הוועדה המייעצת לנציבות שוויון ההזדמנויות בעבודה","להט""ב","האם להחמיר אכיפה וענישה נגד הפליה במקומות ציבוריים? | האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים? | האם להרחיב את ההגנות והזכויות הסוציאליות לעובדים?"
"2202463","הצעת חוק לתיקון פקודת העיריות (ייצוג הולם בשמות מקומות ציבוריים), התשפ""ג-2023","ייצוג הולם בשמות מקומות ציבוריים","להט""ב","האם לחייב העדפה מתקנת ומכסות ייצוג בגופים ציבוריים?"
"2213740","הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע נטייה מינית או זהות מגדרית), התשפ""ד-2024","הגדרת הפליה על רקע נטייה מינית או זהות מגדרית בחוק הפרשנות","להט""ב · נטייה מינית · זהות מגדרית","(לא מסווגת)"
"2239013","הצעת חוק הפרשנות (תיקון - הגדרת  הפליה על רקע נטייה מינית או זהות מגדרית), התשפ""ו-2026","הגדרת הפליה מחמת נטייה מינית או זהות מגדרית בדין הכללי","להט""ב · נטייה מינית · זהות מגדרית","האם להחמיר אכיפה וענישה נגד הפליה במקומות ציבוריים?"
"2209251","חוק הספורט (תיקון מס' 18 והוראת שעה), התשפ""ה–2025","חובת ענידת דגל המדינה על מדי נבחרות ישראל","הגאווה","(לא מסווגת)"
"2196102","הצעת חוק הסכמים לנשיאת עוברים (אישור הסכם ומעמד היילוד) (תיקון - הרחבת הזכאות להליכי נשיאת עוברים), התשפ""ג-2022","הרחבת הזכאות להליכי פונדקאות לבני זוג ולרבות יחידים","נטייה מינית","(לא מסווגת)"
"2196179","הצעת חוק זכויות התלמיד (תיקון - מניעת פגיעה בתלמיד עקב פעילות המתקיימת במוסד חינוך בניגוד לטובת הילד ורצון ההורים), התשפ""ג-2023","פעילויות בנושאי נטייה מינית וזהות מגדרית במוסדות חינוך","נטייה מינית · זהות מגדרית","האם לחייב מוסדות חינוך מתוקצבים בלימודי ליבה?"
"2196342","הצעת חוק-יסוד: כבוד האדם וחירותו (תיקון - הזכות לשוויון)","עיגון חוקתי מפורש של הזכות לשוויון","נטייה מינית","האם לעגן בחוקי היסוד את עקרון השוויון?"
"2197656","הצעת חוק איסור טיפול המרה לקטין, התשפ""ג-2022","איסור טיפולי המרה לקטינים","נטייה מינית · זהות מגדרית · טיפולי המרה · טיפול המרה","האם לאסור בחוק טיפולי המרה?"
